task_id,asset_id,department,maintenance_type,corridor_id,section_id,date,start_minute,end_minute,duration_minutes,block_ids,assigned_teams,is_bundled,sharing_type,bundled_with_task_ids,is_night,risk_score,risk_level,failure_probability_30d,priority_score
TASK-000165,AST-120165,Mechanical / Rolling Stock,Substation Maintenance,COR-008,SEC-0075,2026-09-13,1080,1235,155,BLK-024898;BLK-024899,TEAM-033,No,single,None,Yes,11.70,LOW,0.1170,355.50
TASK-000012,AST-120012,Track / Civil Engineering,Turnout Maintenance,COR-004,SEC-0031,2026-09-14,120,245,125,BLK-026762;BLK-026763,TEAM-004,No,single,None,Yes,96.70,CRITICAL,0.9665,2064.00
TASK-000026,AST-120026,Signal & Telecommunications (S&T),Catenary Repair,COR-005,SEC-0049,2026-09-14,240,346,106,BLK-026979,TEAM-022,No,single,None,Yes,21.30,LOW,0.2128,556.00
TASK-000040,AST-120040,Track / Civil Engineering,Relay Testing,COR-008,SEC-0072,2026-09-14,1345,1440,95,BLK-027264,TEAM-006,No,single,None,Yes,58.80,MODERATE,0.5876,1306.00
TASK-000054,AST-120054,Electrical / TRD,Switchgear Inspection,COR-001,SEC-0009,2026-09-14,1266,1440,174,BLK-026507;BLK-026508,TEAM-015,No,single,None,Yes,27.30,LOW,0.2735,678.25
TASK-000068,AST-120068,Track / Civil Engineering,Point Machine Maintenance,COR-013,SEC-0130,2026-09-14,1320,1409,89,BLK-027960,TEAM-009,No,single,None,Yes,20.90,LOW,0.2087,549.50
TASK-000082,AST-120082,Mechanical / Rolling Stock,Sleeper Replacement,COR-006,SEC-0060,2026-09-14,60,191,131,BLK-027109;BLK-027110,TEAM-034,No,single,None,Yes,44.80,MODERATE,0.4484,1027.50
TASK-000096,AST-120096,Track / Civil Engineering,Feeder Maintenance,COR-010,SEC-0096,2026-09-14,0,114,114,BLK-027541,TEAM-004,No,single,None,Yes,71.10,HIGH,0.7112,1552.00
TASK-000110,AST-120110,Mechanical / Rolling Stock,Rail Grinding,COR-010,SEC-0091,2026-09-14,1320,1422,102,BLK-027492,TEAM-039,No,single,None,Yes,23.40,LOW,0.2339,600.25
TASK-000124,AST-120124,Signal & Telecommunications (S&T),Sleeper Replacement,COR-017,SEC-0167,2026-09-14,1327,1440,113,BLK-028404,TEAM-024;TEAM-027,No,single,None,Yes,19.70,LOW,0.1974,526.25
TASK-000138,AST-120138,Mechanical / Rolling Stock,Axle Inspection,COR-001,SEC-0002,2026-09-14,1080,1234,154,BLK-026422;BLK-026423,TEAM-033,No,single,None,Yes,3.50,LOW,0.0350,212.25
TASK-000152,AST-120152,Track / Civil Engineering,Sleeper Replacement,COR-008,SEC-0071,2026-09-14,140,240,100,BLK-027242,TEAM-001,No,single,None,Yes,64.40,HIGH,0.6438,1420.25
TASK-000013,AST-120013,Signal & Telecommunications (S&T),Substation Maintenance,COR-004,SEC-0032,2026-09-15,240,428,188,BLK-029175;BLK-029176,TEAM-022,No,single,None,Yes,5.00,LOW,0.0500,240.00
TASK-000027,AST-120027,Signal & Telecommunications (S&T),Rail Grinding,COR-013,SEC-0130,2026-09-15,240,442,202,BLK-030351;BLK-030352,TEAM-028,No,single,None,Yes,82.30,CRITICAL,0.8234,1787.50
TASK-000041,AST-120041,Mechanical / Rolling Stock,Bridge Inspection,COR-001,SEC-0006,2026-09-15,119,240,121,BLK-028861;BLK-028862,TEAM-037,No,single,None,Yes,15.20,LOW,0.1515,445.50
TASK-000055,AST-120055,Track / Civil Engineering,Axle Inspection,COR-004,SEC-0038,2026-09-15,63,120,57,BLK-029245,TEAM-004,No,single,None,Yes,86.90,CRITICAL,0.8686,1879.50
TASK-000069,AST-120069,Mechanical / Rolling Stock,Catenary Repair,COR-015,SEC-0148,2026-09-15,120,346,226,BLK-030566;BLK-030567,TEAM-031,No,single,None,Yes,11.30,LOW,0.1133,368.25
TASK-000083,AST-120083,Mechanical / Rolling Stock,Point Machine Maintenance,COR-003,SEC-0023,2026-09-15,142,240,98,BLK-029066,TEAM-034,No,single,None,Yes,4.10,LOW,0.0405,222.00
TASK-000097,AST-120097,Signal & Telecommunications (S&T),Bridge Inspection,COR-019,SEC-0186,2026-09-15,0,116,116,BLK-031021,TEAM-022,No,single,None,Yes,96.40,CRITICAL,0.9640,2069.50
TASK-000111,AST-120111,Track / Civil Engineering,Bridge Inspection,COR-010,SEC-0098,2026-09-15,240,387,147,BLK-029967;BLK-029968,TEAM-004,No,single,None,Yes,98.40,CRITICAL,0.9843,2108.00
TASK-000125,AST-120125,Track / Civil Engineering,Axle Counter Inspection,COR-012,SEC-0113,2026-09-15,263,360,97,BLK-030147,TEAM-001,No,single,None,Yes,90.80,CRITICAL,0.9085,1959.00
TASK-000139,AST-120139,Mechanical / Rolling Stock,Transformer Inspection,COR-017,SEC-0170,2026-09-15,1080,1237,157,BLK-030838;BLK-030839,TEAM-033,No,single,None,Yes,3.90,LOW,0.0388,220.25
TASK-000153,AST-120153,Electrical / TRD,Ballast Tamping,COR-017,SEC-0161,2026-09-15,0,179,179,BLK-030721;BLK-030722,TEAM-013,No,single,None,Yes,33.80,MODERATE,0.3377,818.25
TASK-000167,AST-120167,Track / Civil Engineering,Substation Maintenance,COR-019,SEC-0189,2026-09-15,630,764,134,BLK-031062;BLK-031063,TEAM-002,No,single,None,No,85.40,CRITICAL,0.8542,1849.50
TASK-000014,AST-120014,Track / Civil Engineering,Substation Maintenance,COR-012,SEC-0119,2026-09-16,960,1096,136,BLK-032625;BLK-032626,TEAM-003,No,single,None,No,28.40,LOW,0.2838,719.50
TASK-000028,AST-120028,Signal & Telecommunications (S&T),Rail Inspection,COR-018,SEC-0174,2026-09-16,752,960,208,BLK-033283;BLK-033284,TEAM-029,No,single,None,No,2.00,LOW,0.0204,190.00
TASK-000042,AST-120042,Track / Civil Engineering,Ballast Tamping,COR-005,SEC-0044,2026-09-16,1240,1320,80,BLK-031727,TEAM-009,No,single,None,Yes,51.60,MODERATE,0.5160,1184.25
TASK-000056,AST-120056,Track / Civil Engineering,Switchgear Inspection,COR-009,SEC-0088,2026-09-16,60,197,137,BLK-032245;BLK-032246,TEAM-001,No,single,None,Yes,20.70,LOW,0.2074,564.00
TASK-000070,AST-120070,Signal & Telecommunications (S&T),Bridge Inspection,COR-001,SEC-0006,2026-09-16,720,868,148,BLK-031267;BLK-031268,TEAM-023;TEAM-026,No,single,None,No,70.70,HIGH,0.7073,1565.50
TASK-000084,AST-120084,Track / Civil Engineering,Wheelset Inspection,COR-011,SEC-0102,2026-09-16,230,360,130,BLK-032414;BLK-032415,TEAM-001,No,single,None,Yes,79.80,HIGH,0.7982,1748.25
TASK-000098,AST-120098,Track / Civil Engineering,Turnout Maintenance,COR-015,SEC-0145,2026-09-16,1335,1440,105,BLK-032940,TEAM-003,No,single,None,Yes,99.20,CRITICAL,0.9921,2134.00
TASK-000112,AST-120112,Electrical / TRD,Sleeper Replacement,COR-007,SEC-0066,2026-09-16,1297,1440,143,BLK-031991;BLK-031992,TEAM-015,No,single,None,Yes,10.70,LOW,0.1070,366.25
TASK-000126,AST-120126,Track / Civil Engineering,Sleeper Replacement,COR-017,SEC-0168,2026-09-16,1200,1383,183,BLK-033215;BLK-033216,TEAM-012,No,single,None,Yes,97.10,CRITICAL,0.9714,2092.00
TASK-000140,AST-120140,Signal & Telecommunications (S&T),Turnout Maintenance,COR-011,SEC-0103,2026-09-16,0,144,144,BLK-032425;BLK-032426,TEAM-022;TEAM-025,No,single,None,Yes,36.40,MODERATE,0.3644,881.00
TASK-000154,AST-120154,Track / Civil Engineering,Turnout Maintenance,COR-002,SEC-0015,2026-09-16,1200,1361,161,BLK-031379;BLK-031380,TEAM-006,No,single,None,Yes,6.30,LOW,0.0628,277.50
TASK-000168,AST-120168,Mechanical / Rolling Stock,Brake Inspection,COR-019,SEC-0188,2026-09-16,0,131,131,BLK-033445;BLK-033446,TEAM-031,No,single,None,Yes,3.30,LOW,0.0335,216.00
